meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.0629,51.55,170.85000000000002,RX_3961,0.0001237882467190235
-0.0629,51.55,171.49,RX_3961,0.0001237882467190235
-0.063,51.55,169.48000000000002,RX_3963,0.00016943989802434994
-0.063,51.5501,169.7,RX_3965,0.00019482522520153614
-0.063,51.5501,171.3,RX_3965,0.00019482522520153614
-0.0631,51.5501,168.10000000000002,RX_3966,0.00015003696299179022
-0.0632,51.5501,167.73000000000002,RX_3969,5.393478558477698e-05
-0.0632,51.5501,167.03,RX_3969,5.393478558477698e-05
-0.0632,51.5501,166.68,RX_3969,5.393478558477698e-05
-0.0633,51.5501,166.14,RX_3970,5.3050444866738664e-05
-0.0633,51.5502,165.42000000000002,RX_3971,0.00017897850363774917
-0.0634,51.5502,165.16,RX_3972,0.00015013960625245065
-0.0634,51.5502,166.93,RX_3972,0.00015013960625245065
-0.0635,51.5502,167.71,RX_3974,6.58766092494486e-05
-0.0635,51.5502,165.78,RX_3974,6.58766092494486e-05
-0.0635,51.5502,165.31,RX_3974,6.58766092494486e-05
-0.0636,51.5502,164.82999999999998,RX_3978,7.772720564742548e-05
-0.0636,51.5502,165.60000000000002,RX_3978,7.772720564742548e-05
-0.0636,51.5503,166.43,RX_3979,0.00010532126933215565
-0.0637,51.5503,166.69,RX_3982,0.00012053384447654187
-0.0637,51.5503,166.53,RX_3982,0.00012053384447654187
-0.0637,51.5503,166.25,RX_3982,0.00012053384447654187
-0.0638,51.5503,167.63,RX_3983,0.0001232041114978866
-0.0638,51.5504,167.82999999999998,RX_3984,3.652496899516699e-05
-0.0638,51.5504,167.56,RX_3984,3.652496899516699e-05
-0.0639,51.5504,167.31,RX_3986,0.00017927144591806414
-0.0639,51.5504,168.38,RX_3986,0.00017927144591806414
-0.064,51.5504,169.31,RX_3989,0.00010790479802469112
-0.064,51.5504,172.31,RX_3989,0.00010790479802469112
-0.064,51.5505,172.97,RX_3990,0.00018179434290971222
